Gene	Publication link	Publication DOI	Year	uniprot link	uniprot ID 
galE	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A0D0GY75/entry	A0A0D0GY75
trpD	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A0D0IHC8/entry	A0A0D0IHC8
pyrG	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A0D0ILW3/entry	A0A0D0ILW3
groEL	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A0K9L2V5/entry	A0A0K9L2V5
xerC	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A0K9L7F1/entry	A0A0K9L7F1
Msf	https://pubmed.ncbi.nlm.nih.gov/26977929/	10.1371/journal.pone.0149891	2016	https://www.uniprot.org/uniprotkb/A0A0P9TTN1/entry	A0A0P9TTN1
msf	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424483	2023	https://www.uniprot.org/uniprotkb/A0A0P9TTN1/entry	A0A0P9TTN1
msf	https://pubmed.ncbi.nlm.nih.gov/37605758/	10.2147/IDR.S424481	2023	https://www.uniprot.org/uniprotkb/A0A0P9TTN1/entry	A0A0P9TTN1
trpC	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A0Y7LXL8/entry	A0A0Y7LXL8
rffG	https://pubmed.ncbi.nlm.nih.gov/35401483/	10.3389/fmicb.2022.856889	2022	https://www.uniprot.org/uniprotkb/A0A158SV53/entry	A0A158SV53
eno	https://pubmed.ncbi.nlm.nih.gov/37958487/ 	10.3390/ijms242115499	2023	https://www.uniprot.org/uniprotkb/A0A222C6U9/entry	A0A222C6U9
znuB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2R3FW93/entry	A0A2R3FW93
trpG	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2R3G4I6/entry	A0A2R3G4I6
pdxS	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9R9L5/entry	A0A2S9R9L5
aspC	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9RCT5/entry	A0A2S9RCT5
znuC	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9RD24/entry	A0A2S9RD24
Dps	https://pubmed.ncbi.nlm.nih.gov/22919649/	10.3389/fcimb.2012.00058	2012	https://www.uniprot.org/uniprotkb/A0A2S9RNU9/entry	A0A2S9RNU9
dps	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9RNU9/entry	A0A2S9RNU9
purA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9RP06/entry	A0A2S9RP06
ilvE	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9RQI1/entry	A0A2S9RQI1
ureH	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9RQN7/entry	A0A2S9RQN7
emrA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9RRX5/entry	A0A2S9RRX5
purB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9RSE1/entry	A0A2S9RSE1
trxA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9RZ00/entry	A0A2S9RZ00
dnaJ	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9S0I4/entry	A0A2S9S0I4
xerD	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9S134/entry	A0A2S9S134
siaA	https://pubmed.ncbi.nlm.nih.gov/35401483/	10.3389/fmicb.2022.856887	2022	https://www.uniprot.org/uniprotkb/A0A2S9S409/entry	A0A2S9S409 
obgE	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9S410/entry	A0A2S9S410
PilW	https://pubmed.ncbi.nlm.nih.gov/34237220/ 	10.1139/cjm-2020-0540	2021	https://www.uniprot.org/uniprotkb/A0A2S9S5W7/entry	A0A2S9S5W7
accA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9S7P8/entry	A0A2S9S7P8
ruvB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9SGF2/entry	A0A2S9SGF2
nudC	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9SI61/entry	A0A2S9SI61
metC	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9SI85/entry	A0A2S9SI85
pbpG	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2S9SJG3/entry	A0A2S9SJG3
trpB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2U9DWP8/entry	A0A2U9DWP8
parE	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2U9DWS3/entry	A0A2U9DWS3
purE	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2U9DXJ1/entry	A0A2U9DXJ1
fur	https://pubmed.ncbi.nlm.nih.gov/23381990/	10.1128/IAI.01227-12	2013	https://www.uniprot.org/uniprotkb/A0A2U9DXN8/entry	A0A2U9DXN8
ruvA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2U9DYC4/entry	A0A2U9DYC4
ruvC	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2U9DYK0/entry	A0A2U9DYK0
alaS	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2U9DZ88/entry	A0A2U9DZ88
Pal	https://pubmed.ncbi.nlm.nih.gov/34237220/ 	10.1139/cjm-2020-0535	2021	https://www.uniprot.org/uniprotkb/A0A2U9DZ96/entry	A0A2U9DZ96
deoD	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2U9E068/entry	A0A2U9E068
csrA	https://pubmed.ncbi.nlm.nih.gov/15660999/	10.1111/j.1365-2958.2004.04439.x	2005	https://www.uniprot.org/uniprotkb/A0A2V0SB94/entry	A0A2V0SB94
cspD	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X1PIK2/entry	A0A2X1PIK2
licD	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X1PL31/entry	A0A2X1PL31
dsbA	https://pubmed.ncbi.nlm.nih.gov/18212083/	10.1128/IAI.01378-07	2008	https://www.uniprot.org/uniprotkb/A0A2X1PP70/entry	A0A2X1PP70
uspE	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X1PUN3/entry	A0A2X1PUN3
rfbP	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X1PYT7/entry	A0A2X1PYT7
pheA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X1RLR9/entry	A0A2X1RLR9
gspE	https://pubmed.ncbi.nlm.nih.gov/32785145/	10.3390/ijms21165743	2020	https://www.uniprot.org/uniprotkb/A0A2X1RTI2/entry	A0A2X1RTI2
dsbB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4D9L4/entry	A0A2X4D9L4
pgmB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4D9N5/entry	A0A2X4D9N5
recR	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4DA12/entry	A0A2X4DA12
gmhB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4DAL0/entry	A0A2X4DAL0
metB	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4DCV5/entry	A0A2X4DCV5
fdx-2	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4DDD9/entry	A0A2X4DDD9
galU	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4DEU9/entry	A0A2X4DEU9
trpA	https://pubmed.ncbi.nlm.nih.gov/22919615/ 	10.3389/fcimb.2012.00023	2012	https://www.uniprot.org/uniprotkb/A0A2X4DPP8/entry	A0A2X4DPP8
INT-1	https://pubmed.ncbi.nlm.nih.gov/15228541/	10.1111/j.1365-2958.2004.04140.x	2004	https://www.uniprot.org/uniprotkb/A0A2X4DRA5/entry	A0A2X4DRA5
